state,is_state,name,date,label,count
AL,TRUE,Alabama,2015-01-01,Number of Deaths,49543
AL,TRUE,Alabama,2015-02-01,Number of Deaths,50004
AL,TRUE,Alabama,2015-03-01,Number of Deaths,50486
AL,TRUE,Alabama,2015-04-01,Number of Deaths,50565
AL,TRUE,Alabama,2015-05-01,Number of Deaths,50516
AL,TRUE,Alabama,2015-06-01,Number of Deaths,50658
AL,TRUE,Alabama,2015-07-01,Number of Deaths,50841
AL,TRUE,Alabama,2015-08-01,Number of Deaths,50930
AL,TRUE,Alabama,2015-09-01,Number of Deaths,51044
AL,TRUE,Alabama,2015-10-01,Number of Deaths,51091
AL,TRUE,Alabama,2015-11-01,Number of Deaths,51093
AL,TRUE,Alabama,2015-12-01,Number of Deaths,50870
AL,TRUE,Alabama,2016-01-01,Number of Deaths,50534
AL,TRUE,Alabama,2016-02-01,Number of Deaths,50555
AL,TRUE,Alabama,2016-03-01,Number of Deaths,50348
AL,TRUE,Alabama,2016-04-01,Number of Deaths,50391
AL,TRUE,Alabama,2016-05-01,Number of Deaths,50511
AL,TRUE,Alabama,2016-06-01,Number of Deaths,50613
AL,TRUE,Alabama,2016-07-01,Number of Deaths,50683
AL,TRUE,Alabama,2016-08-01,Number of Deaths,50756
AL,TRUE,Alabama,2016-09-01,Number of Deaths,50810
AL,TRUE,Alabama,2016-10-01,Number of Deaths,50869
AL,TRUE,Alabama,2016-11-01,Number of Deaths,51110
AL,TRUE,Alabama,2016-12-01,Number of Deaths,51431
AL,TRUE,Alabama,2017-01-01,Number of Deaths,51655
AL,TRUE,Alabama,2017-02-01,Number of Deaths,51545
AL,TRUE,Alabama,2017-03-01,Number of Deaths,51673
AL,TRUE,Alabama,2017-04-01,Number of Deaths,51800
AL,TRUE,Alabama,2017-05-01,Number of Deaths,51950
AL,TRUE,Alabama,2017-06-01,Number of Deaths,52012
AL,TRUE,Alabama,2017-07-01,Number of Deaths,52049
AL,TRUE,Alabama,2017-08-01,Number of Deaths,52091
AL,TRUE,Alabama,2017-09-01,Number of Deaths,52249
AL,TRUE,Alabama,2017-10-01,Number of Deaths,52286
AL,TRUE,Alabama,2015-01-01,Number of Drug Overdose Deaths,715
AL,TRUE,Alabama,2015-02-01,Number of Drug Overdose Deaths,723
AL,TRUE,Alabama,2015-03-01,Number of Drug Overdose Deaths,733
AL,TRUE,Alabama,2015-04-01,Number of Drug Overdose Deaths,738
AL,TRUE,Alabama,2015-05-01,Number of Drug Overdose Deaths,755
AL,TRUE,Alabama,2015-06-01,Number of Drug Overdose Deaths,756
AL,TRUE,Alabama,2015-07-01,Number of Drug Overdose Deaths,743
AL,TRUE,Alabama,2015-08-01,Number of Drug Overdose Deaths,736
AL,TRUE,Alabama,2015-09-01,Number of Drug Overdose Deaths,744
AL,TRUE,Alabama,2015-10-01,Number of Drug Overdose Deaths,730
AL,TRUE,Alabama,2015-11-01,Number of Drug Overdose Deaths,725
AL,TRUE,Alabama,2015-12-01,Number of Drug Overdose Deaths,720
AL,TRUE,Alabama,2016-01-01,Number of Drug Overdose Deaths,706
AL,TRUE,Alabama,2016-02-01,Number of Drug Overdose Deaths,710
AL,TRUE,Alabama,2016-03-01,Number of Drug Overdose Deaths,681
AL,TRUE,Alabama,2016-04-01,Number of Drug Overdose Deaths,676
AL,TRUE,Alabama,2016-05-01,Number of Drug Overdose Deaths,654
AL,TRUE,Alabama,2016-06-01,Number of Drug Overdose Deaths,674
AL,TRUE,Alabama,2016-07-01,Number of Drug Overdose Deaths,681
AL,TRUE,Alabama,2016-08-01,Number of Drug Overdose Deaths,685
AL,TRUE,Alabama,2016-09-01,Number of Drug Overdose Deaths,695
AL,TRUE,Alabama,2016-10-01,Number of Drug Overdose Deaths,704
AL,TRUE,Alabama,2016-11-01,Number of Drug Overdose Deaths,718
AL,TRUE,Alabama,2016-12-01,Number of Drug Overdose Deaths,740
AL,TRUE,Alabama,2017-01-01,Number of Drug Overdose Deaths,763
AL,TRUE,Alabama,2017-02-01,Number of Drug Overdose Deaths,759
AL,TRUE,Alabama,2017-03-01,Number of Drug Overdose Deaths,793
AL,TRUE,Alabama,2017-04-01,Number of Drug Overdose Deaths,793
AL,TRUE,Alabama,2017-05-01,Number of Drug Overdose Deaths,810
AL,TRUE,Alabama,2017-06-01,Number of Drug Overdose Deaths,803
AL,TRUE,Alabama,2017-07-01,Number of Drug Overdose Deaths,809
AL,TRUE,Alabama,2017-08-01,Number of Drug Overdose Deaths,809
AL,TRUE,Alabama,2017-09-01,Number of Drug Overdose Deaths,800
AL,TRUE,Alabama,2017-10-01,Number of Drug Overdose Deaths,801
AK,TRUE,Alaska,2015-01-01,Number of Deaths,4034
AK,TRUE,Alaska,2015-02-01,Number of Deaths,4084
AK,TRUE,Alaska,2015-03-01,Number of Deaths,4101
AK,TRUE,Alaska,2015-04-01,Number of Deaths,4133
AK,TRUE,Alaska,2015-05-01,Number of Deaths,4196
AK,TRUE,Alaska,2015-06-01,Number of Deaths,4201
AK,TRUE,Alaska,2015-07-01,Number of Deaths,4220
AK,TRUE,Alaska,2015-08-01,Number of Deaths,4222
AK,TRUE,Alaska,2015-09-01,Number of Deaths,4242
AK,TRUE,Alaska,2015-10-01,Number of Deaths,4241
AK,TRUE,Alaska,2015-11-01,Number of Deaths,4219
AK,TRUE,Alaska,2015-12-01,Number of Deaths,4193
AK,TRUE,Alaska,2016-01-01,Number of Deaths,4213
AK,TRUE,Alaska,2016-02-01,Number of Deaths,4198
AK,TRUE,Alaska,2016-03-01,Number of Deaths,4230
AK,TRUE,Alaska,2016-04-01,Number of Deaths,4262
AK,TRUE,Alaska,2016-05-01,Number of Deaths,4241
AK,TRUE,Alaska,2016-06-01,Number of Deaths,4261
AK,TRUE,Alaska,2016-07-01,Number of Deaths,4269
AK,TRUE,Alaska,2016-08-01,Number of Deaths,4276
AK,TRUE,Alaska,2016-09-01,Number of Deaths,4256
AK,TRUE,Alaska,2016-10-01,Number of Deaths,4291
AK,TRUE,Alaska,2016-11-01,Number of Deaths,4289
AK,TRUE,Alaska,2016-12-01,Number of Deaths,4355
AK,TRUE,Alaska,2017-01-01,Number of Deaths,4374
AK,TRUE,Alaska,2017-02-01,Number of Deaths,4347
AK,TRUE,Alaska,2017-03-01,Number of Deaths,4360
AK,TRUE,Alaska,2017-04-01,Number of Deaths,4326
AK,TRUE,Alaska,2017-05-01,Number of Deaths,4278
AK,TRUE,Alaska,2017-06-01,Number of Deaths,4277
AK,TRUE,Alaska,2017-07-01,Number of Deaths,4238
AK,TRUE,Alaska,2017-08-01,Number of Deaths,4236
AK,TRUE,Alaska,2017-09-01,Number of Deaths,4300
AK,TRUE,Alaska,2017-10-01,Number of Deaths,4283
AK,TRUE,Alaska,2015-01-01,Number of Drug Overdose Deaths,126
AK,TRUE,Alaska,2015-02-01,Number of Drug Overdose Deaths,127
AK,TRUE,Alaska,2015-03-01,Number of Drug Overdose Deaths,125
AK,TRUE,Alaska,2015-04-01,Number of Drug Overdose Deaths,126
AK,TRUE,Alaska,2015-05-01,Number of Drug Overdose Deaths,125
AK,TRUE,Alaska,2015-06-01,Number of Drug Overdose Deaths,121
AK,TRUE,Alaska,2015-07-01,Number of Drug Overdose Deaths,117
AK,TRUE,Alaska,2015-08-01,Number of Drug Overdose Deaths,124
AK,TRUE,Alaska,2015-09-01,Number of Drug Overdose Deaths,125
AK,TRUE,Alaska,2015-10-01,Number of Drug Overdose Deaths,120
AK,TRUE,Alaska,2015-11-01,Number of Drug Overdose Deaths,115
AK,TRUE,Alaska,2015-12-01,Number of Drug Overdose Deaths,121
AK,TRUE,Alaska,2016-01-01,Number of Drug Overdose Deaths,126
AK,TRUE,Alaska,2016-02-01,Number of Drug Overdose Deaths,128
AK,TRUE,Alaska,2016-03-01,Number of Drug Overdose Deaths,125
AK,TRUE,Alaska,2016-04-01,Number of Drug Overdose Deaths,132
AK,TRUE,Alaska,2016-05-01,Number of Drug Overdose Deaths,140
AK,TRUE,Alaska,2016-06-01,Number of Drug Overdose Deaths,138
AK,TRUE,Alaska,2016-07-01,Number of Drug Overdose Deaths,143
AK,TRUE,Alaska,2016-08-01,Number of Drug Overdose Deaths,138
AK,TRUE,Alaska,2016-09-01,Number of Drug Overdose Deaths,131
AK,TRUE,Alaska,2016-10-01,Number of Drug Overdose Deaths,131
AK,TRUE,Alaska,2016-11-01,Number of Drug Overdose Deaths,133
AK,TRUE,Alaska,2016-12-01,Number of Drug Overdose Deaths,129
